ID,WATERSHED,SITE,PLANT,TYPE,CODE,REP,WATER,PH,SOM,TOTALC,TOTALN,CN,IGNORE,NO3N,SO4,NH4,QPCR_16S,ARC,QPCR_mcrA,QPCR_pmoA,AOA,QPCR_nosZ,QPCR_nirK,QPCR_nirS
11,Patuxent,JugBay,LooseStrife,NAT,Pat-Nat-Loose,2,273.880597,4.56,25.67045916,13.54,0.9976,13.6,13075,1.045,911.225,25.61036083,3321882076,979767916.5,681425013.2,10086.26922,BDL,24579129.93,49061695.43,9749689.597
12,Patuxent,JugBay,LooseStrife,NAT,Pat-Nat-Loose,3,251.5789474,4.5,25.1229242,13.78,0.9701,14.2,10876,1.43,852.325,19.85262582,2225963249,735737305.4,1086716939,22793.73102,BDL,50301801.5,41807616.36,13370056.02
13,Patuxent,Wootons,Cattail,REST,Pat-Res-Cat,1,112.9511677,6.26,6.635142235,2.976,0.2323,12.8,3863,8.29,23.705,7.337119807,10275036278,398813468.8,36213886.03,.,6246520.072,61307704.47,173603886.5,247250640.4
14,Patuxent,Wootons,Cattail,REST,Pat-Res-Cat,2,91.20458891,5.83,5.054474013,2.156,0.1672,12.9,3066,3.3,27.705,7.332907737,6482409936,309190338.9,73231603.15,112470.0498,11185634.85,47156200.65,170501539.6,158320876.9
15,Patuxent,Wootons,Cattail,REST,Pat-Res-Cat,3,110.0208768,5.77,6.333333333,2.998,0.214,14,6438,2.85,48.195,12.49098734,9907141803,894646929.1,264784487.6,57438.8606,4834589.692,40669351.95,125360381.4,187353578.9
16,Patuxent,Wootons,Phrag,REST,Pat-Res-Phrag,1,146.4373464,5.79,11.21455777,4.644,0.3208,14.5,5181,1.25,138.57,14.40415171,3588872990,644206093.8,893840472,88675.76306,BDL,42644772.58,92452284.29,74699519.01
17,Patuxent,Wootons,Phrag,REST,Pat-Res-Phrag,2,77.42504409,5.76,4.277004277,1.65,0.1173,14.1,7555,2.12,134.275,7.131933684,6809813953,419922795.1,167159866.1,312322.257,1703265.259,50427445.77,103204971.8,197661394.6
18,Patuxent,Wootons,Phrag,REST,Pat-Res-Phrag,3,71.28205128,6.24,4.700038212,1.915,0.129,14.8,8558,1.62,30.88,11.1178772,4456393956,837602459.7,193533743,69163.62843,BDL,16679030.65,39994498.15,39121454.89
19,Patuxent,Wootons,Peltandra,REST,Pat-Res-Pel,1,65.56836903,6.28,6.658637302,3.053,0.2006,15.2,6112,1.605,119.52,10.50931301,14115208229,1855049126,1242977749,263813.5169,4233106.214,73446650.61,200827158.6,112900683.2
20,Patuxent,Wootons,Peltandra,REST,Pat-Res-Pel,2,99.60238569,5.98,7.895972209,3.393,0.2547,13.3,3881,13.76,39.705,8.473686185,12832080655,498217031.2,19497903.43,74912.68825,6104276.161,123236636.6,372003734.6,260889435.9
21,Patuxent,Wootons,Peltandra,REST,Pat-Res-Pel,3,113.6752137,6.39,7.750154826,3.446,0.2412,14.3,7616,9.195,14.57,9.611586724,36163734852,246740281.5,64025058.05,288562.4138,3339146.803,149687637,400983491.3,863264862.9
25,Anacostia,Dueling,Cattail,NAT,Ana-Due-Cat,1,70.28862479,6.4,4.569045412,1.897,0.1049,18.1,2276,1.555,55.345,9.313022958,705855834.6,157623991,151340830.6,11224.97808,BDL,11379074.65,19203527.16,20112567.09
26,Anacostia,Dueling,Cattail,NAT,Ana-Due-Cat,2,65.61983471,6.48,5.448098001,2.487,0.1573,15.8,5462,2.58,10.35,7.653746805,3157154149,315565762.1,32809772.69,69634.31204,1021116.537,16412572.45,49249852.49,54049017.9
27,Anacostia,Dueling,Cattail,NAT,Ana-Due-Cat,3,90.51233397,5.9,6.704574387,3.096,0.1955,15.8,12125,1.595,70.745,7.794751974,16003409114,.,89716624.07,.,8951819.757,84795062.82,134702027.3,285648621.2
28,Anacostia,Dueling,Phrag,NAT,Ana-Due-Phrag,1,51.66666667,6.03,3.076372742,1.267,0.07201,17.6,8696,1.96,85.99,5.038966366,8591611943,518387878.9,139999305.4,249395.5798,2974521.719,49083096.11,113518926.2,277944069.8
29,Anacostia,Dueling,Phrag,NAT,Ana-Due-Phrag,2,73.70242215,5.03,4.650479734,1.556,0.07353,21.2,10087,1.78,108.42,5.005166184,501130363.6,117380269.4,2679573.495,7821.479885,BDL,13489293.08,21739823.69,520642.1698
30,Anacostia,Dueling,Phrag,NAT,Ana-Due-Phrag,3,140.2877698,6.14,8.021295475,3.498,0.2494,14,11948,1.305,177.45,8.032589515,3636584954,1231385624,1540672888,75735.67062,BDL,33615170.67,113848694.3,100629360.8
31,Anacostia,Dueling,Peltandra,NAT,Ana-Due-Pel,1,86.59217877,6.41,5.916849015,3.081,0.2049,15,9732,1.685,68.195,13.98675991,5238271125,668639531.5,225445365,147344.0473,BDL,75237344.86,123992812.5,199977105.8
32,Anacostia,Dueling,Peltandra,NAT,Ana-Due-Pel,2,70.74829932,5.11,6.048387097,2.712,0.2016,13.5,10774,1.715,82.775,5.392788781,3340155615,466078728.7,601641258.5,36050.1081,BDL,34288863.65,903726050.6,39533536.78
33,Anacostia,Dueling,Peltandra,NAT,Ana-Due-Pel,3,192.4198251,5.46,11.53047745,6.11,0.474,12.9,10569,1.085,271.4,11.45450914,15875428889,841516679.5,293090484.1,116077.67,BDL,73931518,1435105481,172841778.9
34,Anacostia,Dueling,LooseStrife,NAT,Ana-Due-Loose,1,56.5625,6.67,6.124207064,2.852,0.1698,16.8,12704,0.97,42.4,9.504204266,1681044357,868214877,514158880.3,75081.25664,BDL,20722722.59,441272996.8,24173986.2
35,Anacostia,Dueling,LooseStrife,NAT,Ana-Due-Loose,2,67.83919598,6.01,5.857087075,2.805,0.168,16.7,7742,2.23,36.92,6.729401726,5201566840,616201078.1,139367196,88542.57978,4563889.587,41659144.23,1457743048,97218468.87
36,Anacostia,Dueling,LooseStrife,NAT,Ana-Due-Loose,3,62.0355412,6.42,5.42140374,2.368,0.1662,14.2,11570,1.1,108.56,6.646248613,7225690142,578098134,170841949.9,123949.4589,6930523.722,32881188.61,1064596211,137698052
37,Anacostia,Kenilworth,Cattail,REST,Ana-Ken-Cat,1,53.57524013,6.4,2.267020089,1.512,0.0757,20,11746,1.645,85.04,10.25199767,5753271299,906975332.3,126405824.6,76883.88979,BDL,48748066.91,214273558.7,42112433.25
38,Anacostia,Kenilworth,Cattail,REST,Ana-Ken-Cat,2,226.9444444,6.29,16.40273705,8.523,0.6604,12.9,10327,1.06,475.15,5.967607784,12333470487,1039766708,396504374.4,208276.3795,BDL,57592447.4,1253160999,176202394.7
39,Anacostia,Kenilworth,Cattail,REST,Ana-Ken-Cat,3,64.84268126,6.66,3.543784389,2.165,0.1025,21.1,10468,1.56,141.555,7.674177327,3156426098,440857987.1,281878252.8,252911.0771,BDL,35492951.21,1359767410,229405970.3
40,Anacostia,Kenilworth,Phrag,REST,Ana-Ken-Phrag,1,76.19603267,6.76,0.853295757,0.4821,0.00902,53.4,12964,1.135,131.75,19.18787805,6043652636,326681314.8,154630032.3,131271.6821,BDL,35204614.44,629079119.2,155034719.5
41,Anacostia,Kenilworth,Phrag,REST,Ana-Ken-Phrag,2,96.08208955,6.64,5.196996541,3.402,0.2174,15.6,12191,1.06,53.71,7.620499584,6812570830,254688603.5,121858413.2,159818.6233,2831273.29,36850916.7,1190554603,172154038.4
42,Anacostia,Kenilworth,Phrag,REST,Ana-Ken-Phrag,3,137.1220021,6.34,8.45289226,4.661,0.2738,17,9960,2.06,41.575,5.106195697,2862772957,198153082.4,197368572,651573.677,1280555.306,28094801.18,1094998900,130693851.9
43,Anacostia,Kenilworth,Peltandra,REST,Ana-Ken-Pel,1,141.1671924,5.93,7.750072206,5.704,0.3863,14.8,10072,0.97,57.145,19.77637699,288415543.5,56033200.26,197368572,128638.7044,BDL,28094801.18,669602178.1,43485862.25
44,Anacostia,Kenilworth,Peltandra,REST,Ana-Ken-Pel,2,51.25786164,6.09,1.777150917,1.16,0.04549,25.5,10408,1.295,70.155,3.567402397,924314794.9,344432539.1,125270330.8,21054.2615,BDL,5834875.256,124153019.1,4407368.099
45,Anacostia,Kenilworth,Peltandra,REST,Ana-Ken-Pel,3,35.98484848,6.25,0.716776443,0.4111,0.00822,50,6531,1.405,93.635,5.591665734,1009523611,319527732.8,440445679.6,64080.8076,BDL,16382414.94,394793945.2,34433047.47
46,Anacostia,Kenilworth,LooseStrife,REST,Ana-Ken-Loose,1,39.34240363,6.36,2.275998561,1.866,0.05596,33.3,9586,1.295,188.965,5.391564155,847544984.3,110401678.5,115760888.9,112642.5991,BDL,16743952.52,527723598.8,68320160.04
47,Anacostia,Kenilworth,LooseStrife,REST,Ana-Ken-Loose,2,58.33333333,6.49,4.866364095,3.051,0.1025,29.8,12618,1.25,21.56,10.92681843,6506677897,284054079.3,158719455.1,267470.7285,1337592.917,16585098.51,1115465476,109042425.8
48,Anacostia,Kenilworth,LooseStrife,REST,Ana-Ken-Loose,3,117.8875639,6.45,5.966632105,3.814,0.2133,17.9,11113,0.915,50.825,42.77912794,11999035560,639666248.2,501966097.8,629183.1172,BDL,65489446.04,1619626651,243118510.1
49,Anacostia,Kingman,Cattail,REST,Ana-King-Cat,1,48.20012203,6.19,3.237635274,1.365,0.06307,21.6,12825,1.465,88.755,4.133555495,3406222986,282802539.2,173748830.2,147455.2352,BDL,40059442.31,1457474667,189228319.1
50,Anacostia,Kingman,Cattail,REST,Ana-King-Cat,2,64.98161765,6.39,3.452325035,2.215,0.1223,18.1,10730,2.015,64.295,3.857240445,7162052979,282856450.6,39679800.31,71546.7728,4396721.356,27555590.87,1193976591,152881938
51,Anacostia,Kingman,Cattail,REST,Ana-King-Cat,3,56.7839196,6.53,5.722148415,3.241,0.1294,25,9819,1.25,83.015,7.909935238,916881367.1,299708477.3,735014144.2,24563.21029,BDL,26913114.24,736512503.1,31887862.96
52,Anacostia,Kingman,Phrag,REST,Ana-King-Phrag,1,83.59550562,6.2,1.131199845,1.436,0.01946,73.8,11764,1.15,15.62,14.77876045,1440857301,297464045.9,217732929.3,45981.26716,BDL,9291635.581,157389001.8,14450393.68
53,Anacostia,Kingman,Phrag,REST,Ana-King-Phrag,2,39.87975952,6.01,0.780349384,0.3988,0.00659,60.5,12746,1.3,59.385,3.212988734,3046348306,378785608.1,232928743.4,35461.87223,BDL,10619263.72,297974629.6,47259700.44
54,Anacostia,Kingman,Phrag,REST,Ana-King-Phrag,3,36.829559,6.61,2.037832404,0.7381,0.01578,46.8,7725,1.425,40.075,4.980977589,3418820398,615853516.4,154043184.8,20050.41017,BDL,12704385.61,189082008.7,23305256.7
55,Anacostia,Kingman,Peltandra,REST,Ana-King-Pel,1,29.18149466,6.37,1.026305839,0.508,0.00515,98.6,9799,1.685,46.17,5.020486718,8547513.025,3159552.213,15669517.68,5663.198261,BDL,3791265.799,64613771.52,951749.1448
56,Anacostia,Kingman,Peltandra,REST,Ana-King-Pel,2,37.3540856,5.89,4.436794798,1.912,0.09297,20.6,11343,1.3,32.045,2.112706403,245461925.3,53950463.37,43472795.16,14557.33552,BDL,6062552.851,117682335.5,28944301.2
57,Anacostia,Kingman,Peltandra,REST,Ana-King-Pel,3,33.14285714,5.88,1.18787418,0.6412,0.01516,42.3,12878,1.41,70.525,3.358607758,1038336356,197594831.2,216496934.5,32002.51296,BDL,10465082.09,230885759.7,22068129.4
58,Anacostia,Kingman,LooseStrife,REST,Ana-King-Loose,1,38.15261044,6.24,1.377251276,0.7595,0.02207,34.4,10483,1.365,48.345,4.774141686,1283055424,274083210.5,164634351.6,23495.49876,BDL,8130830.625,236418231.9,30204908.98
59,Anacostia,Kingman,LooseStrife,REST,Ana-King-Loose,2,33.98533007,6.29,1.770684453,0.8214,0.02764,29.7,11438,1.88,36.035,5.097267992,11478684830,489777958.7,146788673.9,111877.6648,2266466.56,49586577.53,1897887027,261038604.8
60,Anacostia,Kingman,LooseStrife,REST,Ana-King-Loose,3,55.90327169,6.58,3.822138127,1.878,0.09999,18.8,9685,1.915,32.84,11.19075986,8800471040,723234427.7,480839759.7,47462.38083,BDL,28420199.78,910543898.6,180411805.1
